location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Temperature [2 m elevation corrected]
20230101T0000,16.900192
20230101T0100,16.810192
20230101T0200,16.810192
20230101T0300,16.880192
20230101T0400,17.140192
20230101T0500,17.260193
20230101T0600,17.470192
20230101T0700,17.510193
20230101T0800,17.530193
20230101T0900,17.550192
20230101T1000,18.030193
20230101T1100,18.700193
20230101T1200,18.480192
20230101T1300,17.990192
20230101T1400,17.220192
20230101T1500,15.990191
20230101T1600,16.000193
20230101T1700,15.400191
20230101T1800,15.060191
20230101T1900,14.630192
20230101T2000,13.980191
20230101T2100,13.530191
20230101T2200,12.2001915
20230101T2300,11.260192
20230102T0000,10.680192
20230102T0100,10.350191
20230102T0200,10.250192
20230102T0300,10.210192
20230102T0400,10.670192
20230102T0500,10.130192
20230102T0600,9.550192
20230102T0700,9.430192
20230102T0800,9.390191
20230102T0900,9.920192
20230102T1000,12.520191
20230102T1100,13.440191
20230102T1200,14.480191
20230102T1300,14.890191
20230102T1400,15.030191
20230102T1500,15.250192
20230102T1600,14.910192
20230102T1700,13.360191
20230102T1800,12.150191
20230102T1900,11.640191
20230102T2000,10.830192
20230102T2100,10.160192
20230102T2200,9.670192
20230102T2300,9.540192
20230103T0000,8.970192
20230103T0100,8.570191
20230103T0200,8.490191
20230103T0300,8.150191
20230103T0400,7.950192
20230103T0500,6.810192
20230103T0600,6.590192
20230103T0700,6.610192
20230103T0800,6.690192
20230103T0900,7.620192
20230103T1000,10.730191
20230103T1100,12.340192
20230103T1200,13.340192
20230103T1300,14.000192
20230103T1400,14.9501915
20230103T1500,15.130192
20230103T1600,14.880192
20230103T1700,13.460192
20230103T1800,11.980191
20230103T1900,11.390191
20230103T2000,10.140191
20230103T2100,9.580192
20230103T2200,8.490191
20230103T2300,8.290192
20230104T0000,8.050192
20230104T0100,7.900192
20230104T0200,7.550192
20230104T0300,7.360192
20230104T0400,7.120192
20230104T0500,6.630192
20230104T0600,6.730192
20230104T0700,6.590192
20230104T0800,6.740192
20230104T0900,7.560192
20230104T1000,10.270191
20230104T1100,11.600191
20230104T1200,12.910192
20230104T1300,14.060191
20230104T1400,15.400191
20230104T1500,15.730191
20230104T1600,15.690191
20230104T1700,14.410192
20230104T1800,12.970192
20230104T1900,12.560191
20230104T2000,11.180192
20230104T2100,10.770191
20230104T2200,9.980191
20230104T2300,9.290192
20230105T0000,8.860191
20230105T0100,8.4501915
20230105T0200,8.280191
20230105T0300,7.9201922
20230105T0400,7.470192
20230105T0500,6.650192
20230105T0600,6.700192
20230105T0700,6.630192
