location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230101T0000,0.0
20230101T0100,0.0
20230101T0200,0.0
20230101T0300,0.0
20230101T0400,0.0
20230101T0500,0.0
20230101T0600,0.0
20230101T0700,0.0
20230101T0800,0.0
20230101T0900,0.0
20230101T1000,0.0
20230101T1100,0.0
20230101T1200,0.6
20230101T1300,1.5
20230101T1400,2.5
20230101T1500,0.8
20230101T1600,0.8
20230101T1700,2.8
20230101T1800,2.0
20230101T1900,0.4
20230101T2000,0.1
20230101T2100,0.0
20230101T2200,0.0
20230101T2300,0.0
20230102T0000,0.0
20230102T0100,0.0
20230102T0200,0.0
20230102T0300,0.0
20230102T0400,0.0
20230102T0500,0.0
20230102T0600,0.0
20230102T0700,0.0
20230102T0800,0.0
20230102T0900,0.0
20230102T1000,0.0
20230102T1100,0.0
20230102T1200,0.0
20230102T1300,0.0
20230102T1400,0.0
20230102T1500,0.0
20230102T1600,0.0
20230102T1700,0.0
20230102T1800,0.0
20230102T1900,0.0
20230102T2000,0.0
20230102T2100,0.0
20230102T2200,0.0
20230102T2300,0.0
20230103T0000,0.0
20230103T0100,0.0
20230103T0200,0.0
20230103T0300,0.0
20230103T0400,0.0
20230103T0500,0.0
20230103T0600,0.0
20230103T0700,0.0
20230103T0800,0.0
20230103T0900,0.0
20230103T1000,0.0
20230103T1100,0.0
20230103T1200,0.0
20230103T1300,0.0
20230103T1400,0.0
20230103T1500,0.0
20230103T1600,0.0
20230103T1700,0.0
20230103T1800,0.0
20230103T1900,0.0
20230103T2000,0.0
20230103T2100,0.0
20230103T2200,0.0
20230103T2300,0.0
20230104T0000,0.0
20230104T0100,0.0
20230104T0200,0.0
20230104T0300,0.0
20230104T0400,0.0
20230104T0500,0.0
20230104T0600,0.0
20230104T0700,0.0
20230104T0800,0.0
20230104T0900,0.0
20230104T1000,0.0
20230104T1100,0.0
20230104T1200,0.0
20230104T1300,0.0
20230104T1400,0.0
20230104T1500,0.0
20230104T1600,0.0
20230104T1700,0.0
20230104T1800,0.0
20230104T1900,0.0
20230104T2000,0.0
20230104T2100,0.0
20230104T2200,0.0
20230104T2300,0.0
20230105T0000,0.0
20230105T0100,0.0
20230105T0200,0.0
20230105T0300,0.0
20230105T0400,0.0
20230105T0500,0.0
20230105T0600,0.0
20230105T0700,0.0
20230105T0800,0.0
20230105T0900,0.0
20230105T1000,0.0
20230105T1100,0.0
20230105T1200,0.0
20230105T1300,0.0
20230105T1400,0.0
20230105T1500,0.0
20230105T1600,0.0
20230105T1700,0.0
20230105T1800,0.0
